Date,Country Name,iOS,Android,Unknown,Windows,Samsung,Nokia Unknown,BlackBerry OS,Linux,Other,Series 40,SymbianOS,Sony Ericsson,Playstation,LG,OS X,Maemo 5,bada,Nintendo,Nintendo 3DS,MeeGo,JAVA,Firefox OS,Tizen,WAP,webOS,LiMo,Motorola,Palm,KaiOS,Rex,DangerOS,Brew,Sailfish
2017-01-01,Macao,58.17,41.34,0.18,0.18,0.01,0.02,0.06,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-01,Macao,59.93,39.71,0.16,0.08,0.01,0.02,0.06,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-01,Macao,61.63,37.94,0.2,0.1,0.02,0.02,0.04,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-01,Macao,59.94,39.56,0.22,0.08,0.05,0.09,0.02,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-01,Macao,59.87,39.78,0.17,0.06,0.06,0.03,0.02,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-01,Macao,59.53,40.07,0.2,0.08,0.08,0.03,0.01,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-01,Macao,60.76,38.83,0.19,0.1,0.08,0.02,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-01,Macao,62.53,37.0,0.22,0.05,0.12,0.04,0.01,0.02,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-01,Macao,62.07,37.51,0.22,0.06,0.08,0.02,0.02,0.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-01,Macao,60.74,38.86,0.22,0.09,0.06,0.02,0.0,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-01,Macao,59.62,40.0,0.2,0.06,0.09,0.01,0.01,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-01,Macao,59.49,40.09,0.23,0.11,0.06,0.0,0.01,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,Malaysia,14.0,83.1,2.19,0.15,0.13,0.08,0.04,0.04,0.02,0.15,0.07,0.03,,,,,,,,,,,,,,,,,,,,,
2018-02-01,Malaysia,14.34,83.14,1.84,0.15,0.14,0.07,0.04,0.03,0.02,0.14,0.08,0.01,,,,,,,,,,,,,,,,,,,,,
2018-03-01,Malaysia,14.57,82.89,1.94,0.12,0.14,0.06,0.03,0.03,0.01,0.13,0.07,0.01,,,,,,,,,,,,,,,,,,,,,
2018-04-01,Malaysia,13.52,84.25,1.65,0.13,0.12,0.07,0.02,0.03,0.01,0.1,0.08,0.01,,,,,,,,,,,,,,,,,,,,,
2018-05-01,Malaysia,13.68,84.26,1.55,0.1,0.12,0.06,0.02,0.03,0.02,0.09,0.04,0.01,,,,,,,,,,,,,,,,,,,,,
2018-06-01,Malaysia,14.46,83.79,1.25,0.09,0.14,0.05,0.02,0.03,0.01,0.09,0.04,0.02,,,,,,,,,,,,,,,,,,,,,
2018-07-01,Malaysia,16.25,82.22,1.04,0.09,0.19,0.05,0.02,0.02,0.01,0.07,0.02,0.01,,,,,,,,,,,,,,,,,,,,,
2018-08-01,Malaysia,20.3,78.65,0.52,0.07,0.3,0.04,0.02,0.02,0.01,0.06,0.01,0.01,,,,,,,,,,,,,,,,,,,,,
2018-09-01,Malaysia,20.71,78.46,0.35,0.05,0.28,0.03,0.02,0.02,0.01,0.05,0.01,0.0,,,,,,,,,,,,,,,,,,,,,
2018-10-01,Malaysia,19.66,79.54,0.29,0.06,0.3,0.04,0.01,0.02,0.01,0.05,0.01,0.0,,,,,,,,,,,,,,,,,,,,,
2018-11-01,Malaysia,22.29,76.77,0.32,0.07,0.37,0.04,0.02,0.02,0.01,0.06,0.02,0.01,,,,,,,,,,,,,,,,,,,,,
2018-12-01,Malaysia,19.88,79.36,0.19,0.06,0.37,0.04,0.01,0.02,0.01,0.05,0.02,0.01,,,,,,,,,,,,,,,,,,,,,
2009-01-01,Bulgaria,32.89,0.01,13.35,1.32,0.0,,1.45,0.3,0.0,,48.37,0.0,2.3,0.0,0.02,,,,,,,,,,,,,,,,,,
2009-02-01,Bulgaria,33.34,0.36,3.28,2.75,0.0,,6.63,0.0,0.0,,52.19,0.0,1.46,0.0,0.0,,,,,,,,,,,,,,,,,,
2009-03-01,Bulgaria,32.56,0.23,3.35,1.41,0.0,,7.55,0.0,0.0,,53.84,0.0,1.06,0.0,0.01,,,,,,,,,,,,,,,,,,
2009-04-01,Bulgaria,31.21,0.24,3.53,1.15,0.0,,8.04,0.0,0.0,,54.54,0.0,1.02,0.0,0.27,,,,,,,,,,,,,,,,,,
2009-05-01,Bulgaria,24.04,0.06,2.63,1.35,0.0,,8.78,0.0,0.0,,61.9,0.0,1.2,0.0,0.03,,,,,,,,,,,,,,,,,,
2009-06-01,Bulgaria,22.04,0.0,3.39,1.83,0.0,,7.04,0.0,0.0,,64.32,0.0,1.37,0.0,0.0,,,,,,,,,,,,,,,,,,
2009-07-01,Bulgaria,21.22,0.48,9.38,2.2,0.1,,5.92,0.0,0.02,,58.42,0.74,1.52,0.0,0.01,,,,,,,,,,,,,,,,,,
2009-08-01,Bulgaria,24.05,0.79,1.43,2.59,0.6,,6.97,0.0,0.0,,60.04,2.53,0.99,0.01,0.02,,,,,,,,,,,,,,,,,,
2009-09-01,Bulgaria,18.91,1.1,1.11,2.34,0.36,,8.94,0.0,0.01,,63.24,3.0,0.93,0.04,0.02,,,,,,,,,,,,,,,,,,
2009-10-01,Bulgaria,19.41,1.51,1.14,2.17,0.27,,6.26,0.0,0.01,,65.98,2.47,0.74,0.04,0.0,,,,,,,,,,,,,,,,,,
2009-11-01,Bulgaria,17.93,1.74,1.24,1.68,0.38,,6.05,0.0,0.0,,67.11,3.14,0.7,0.03,0.0,,,,,,,,,,,,,,,,,,
2009-12-01,Bulgaria,15.14,2.2,2.12,1.5,0.53,,5.93,0.0,0.01,,69.09,2.55,0.85,0.09,0.0,,,,,,,,,,,,,,,,,,
2013-01-01,Malta,35.23,54.6,0.63,1.86,0.46,,0.95,0.09,0.0,2.95,2.31,0.04,0.1,0.01,,0.47,0.16,0.04,0.11,0.0,,,,,,,,,,,,,
2013-02-01,Malta,35.17,55.36,0.66,1.52,0.26,,1.1,0.07,0.0,3.02,2.19,0.04,0.07,0.01,,0.36,0.11,0.02,0.01,0.02,,,,,,,,,,,,,
2013-03-01,Malta,37.65,54.9,0.37,1.43,0.19,,0.7,0.09,0.0,2.29,1.63,0.04,0.1,0.0,,0.34,0.21,0.05,0.01,0.01,,,,,,,,,,,,,
2013-04-01,Malta,36.48,55.14,0.4,1.88,0.33,,0.79,0.08,0.0,2.4,1.83,0.04,0.08,0.0,,0.23,0.16,0.15,0.01,0.01,,,,,,,,,,,,,
2013-05-01,Malta,34.82,56.08,0.53,1.8,0.13,,0.68,0.17,0.0,3.18,1.93,0.01,0.08,0.0,,0.33,0.16,0.05,0.02,0.02,,,,,,,,,,,,,
2013-06-01,Malta,35.83,54.86,0.97,2.28,0.14,,0.66,0.06,0.01,2.92,1.53,0.01,0.05,0.0,,0.34,0.15,0.14,0.02,0.02,,,,,,,,,,,,,
2013-07-01,Malta,36.59,55.08,0.48,2.79,0.17,,0.65,0.31,0.0,2.47,1.07,0.01,0.09,0.01,,0.0,0.13,0.12,0.02,0.01,,,,,,,,,,,,,
2013-08-01,Malta,35.51,55.91,0.87,2.83,0.19,,0.61,0.46,0.0,2.44,0.91,0.02,0.05,0.02,,0.0,0.12,0.04,0.0,0.02,,,,,,,,,,,,,
2013-09-01,Malta,33.52,55.56,1.08,3.51,0.15,,0.61,0.31,0.0,3.88,1.1,0.02,0.06,0.04,,0.0,0.1,0.05,0.0,0.01,,,,,,,,,,,,,
2013-10-01,Malta,30.33,51.88,2.35,3.01,0.32,,0.57,0.19,0.0,9.23,1.83,0.01,0.1,0.06,,0.0,0.07,0.03,0.0,0.01,,,,,,,,,,,,,
2013-11-01,Malta,33.14,54.65,1.45,3.87,0.85,,0.62,0.2,0.02,3.77,1.23,0.02,0.02,0.02,,0.0,0.1,0.04,0.0,0.0,,,,,,,,,,,,,
2013-12-01,Malta,30.89,57.24,1.18,4.09,0.27,,0.53,0.2,0.04,4.14,1.2,0.03,0.01,0.03,,0.0,0.1,0.05,0.01,0.01,,,,,,,,,,,,,
2018-01-01,Italy,25.77,71.75,0.12,1.91,0.32,0.01,0.03,0.01,0.02,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,
2018-02-01,Italy,25.54,71.91,0.12,1.92,0.38,0.01,0.03,0.01,0.03,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,
2018-03-01,Italy,18.97,79.33,0.07,1.31,0.23,0.01,0.02,0.01,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,
2018-04-01,Italy,23.25,74.68,0.1,1.53,0.31,0.01,0.03,0.02,0.03,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,
2018-05-01,Italy,23.71,74.38,0.1,1.43,0.26,0.01,0.03,0.02,0.03,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,
2018-06-01,Italy,23.05,74.95,0.12,1.51,0.23,0.01,0.04,0.02,0.03,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,
2018-07-01,Italy,23.52,74.61,0.07,1.4,0.26,0.01,0.07,0.02,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,
2018-08-01,Italy,23.14,74.91,0.04,1.42,0.31,0.02,0.07,0.03,0.02,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,
2018-09-01,Italy,18.33,80.41,0.02,0.83,0.31,0.01,0.02,0.02,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,
2018-10-01,Italy,25.75,72.83,0.02,0.94,0.35,0.01,0.02,0.02,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,
2018-11-01,Italy,30.78,67.47,0.02,1.13,0.48,0.01,0.02,0.02,0.03,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,
2018-12-01,Italy,25.65,72.79,0.01,0.88,0.56,0.01,0.02,0.02,0.03,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,
2011-01-01,Venezuela,11.4,4.74,15.08,3.37,3.08,,17.68,0.0,0.0,,39.7,3.61,0.55,0.05,,0.25,0.0,0.48,0.0,,,,,,,,0.0,,,,,,
2011-02-01,Venezuela,10.34,5.13,15.83,3.35,3.24,,18.35,0.0,0.0,,39.75,3.03,0.26,0.04,,0.27,0.0,0.4,0.0,,,,,,,,0.0,,,,,,
2011-03-01,Venezuela,11.21,6.58,15.75,2.84,3.32,,20.42,0.0,0.0,,36.21,2.7,0.38,0.05,,0.24,0.0,0.3,0.0,,,,,,,,0.0,,,,,,
2011-04-01,Venezuela,11.02,7.87,14.49,2.69,3.47,,20.44,0.0,0.0,,35.98,2.97,0.28,0.06,,0.24,0.1,0.37,0.0,,,,,,,,0.0,,,,,,
2011-05-01,Venezuela,10.34,10.62,15.2,2.44,4.17,,20.63,0.0,0.01,,32.78,2.62,0.22,0.04,,0.28,0.32,0.33,0.0,,,,,,,,0.0,,,,,,
2011-06-01,Venezuela,9.46,12.45,15.39,2.13,4.1,,21.74,0.0,0.01,,31.52,2.17,0.24,0.02,,0.19,0.32,0.26,0.0,,,,,,,,0.0,,,,,,
2011-07-01,Venezuela,9.43,13.64,14.58,2.07,4.0,,23.32,0.0,0.01,,29.96,1.97,0.24,0.04,,0.19,0.26,0.3,0.0,,,,,,,,0.0,,,,,,
2011-08-01,Venezuela,9.3,14.31,13.7,1.7,4.05,,25.78,0.0,0.01,,28.18,1.75,0.27,0.02,,0.14,0.43,0.37,0.0,,,,,,,,0.0,,,,,,
2011-09-01,Venezuela,11.81,14.04,15.01,1.65,2.98,,23.88,0.0,0.02,,27.68,1.5,0.42,0.02,,0.19,0.43,0.38,0.0,,,,,,,,0.0,,,,,,
2011-10-01,Venezuela,12.76,15.94,14.32,1.49,2.73,,21.51,0.16,0.02,,27.55,1.5,0.34,0.02,,0.12,0.35,0.42,0.0,,,,,,,,0.76,,,,,,
2011-11-01,Venezuela,13.58,16.97,15.56,1.34,2.29,,20.31,0.15,0.02,,26.29,1.32,0.31,0.02,,0.1,0.32,0.42,0.0,,,,,,,,1.0,,,,,,
2011-12-01,Venezuela,13.26,18.94,15.26,1.13,2.2,,19.44,0.16,0.03,,25.63,1.25,0.44,0.03,,0.08,0.63,0.44,0.23,,,,,,,,0.87,,,,,,
2009-01-01,Georgia,11.72,0.0,17.67,0.8,0.0,,0.0,,0.11,,69.32,0.0,0.38,,,,,,,,0.0,,,,,,,,,,,,
2009-02-01,Georgia,14.43,0.0,13.43,1.28,0.0,,0.08,,0.0,,70.56,0.0,0.23,,,,,,,,0.0,,,,,,,,,,,,
2009-03-01,Georgia,16.23,0.07,15.64,0.7,0.0,,0.0,,0.0,,66.5,0.0,0.86,,,,,,,,0.0,,,,,,,,,,,,
2009-04-01,Georgia,22.73,0.0,12.27,0.49,0.0,,0.07,,0.0,,64.19,0.0,0.24,,,,,,,,0.0,,,,,,,,,,,,
2009-05-01,Georgia,10.56,0.01,11.85,0.39,0.0,,0.1,,0.0,,76.84,0.0,0.26,,,,,,,,0.0,,,,,,,,,,,,
2009-06-01,Georgia,10.75,0.0,11.88,1.19,0.0,,0.0,,0.0,,75.46,0.0,0.71,,,,,,,,0.0,,,,,,,,,,,,
2009-07-01,Georgia,9.47,0.0,43.98,0.96,0.72,,0.13,,0.0,,39.65,4.97,0.1,,,,,,,,0.01,,,,,,,,,,,,
2009-08-01,Georgia,6.75,0.03,6.17,1.37,3.31,,0.01,,0.02,,59.84,22.27,0.13,,,,,,,,0.11,,,,,,,,,,,,
2009-09-01,Georgia,9.68,0.05,8.73,2.6,1.63,,0.03,,0.0,,56.78,20.31,0.18,,,,,,,,0.0,,,,,,,,,,,,
2009-10-01,Georgia,14.04,0.13,7.19,2.57,1.73,,0.07,,0.0,,58.8,15.26,0.22,,,,,,,,0.0,,,,,,,,,,,,
2009-11-01,Georgia,15.31,0.08,7.87,2.22,7.23,,0.15,,0.03,,48.07,18.75,0.28,,,,,,,,0.01,,,,,,,,,,,,
2009-12-01,Georgia,10.57,0.15,6.37,0.71,3.31,,0.15,,0.03,,51.9,26.56,0.22,,,,,,,,0.02,,,,,,,,,,,,
2019-01-01,Peru,9.47,87.38,0.21,0.61,2.08,0.03,0.04,0.02,0.04,0.06,,,0.03,,,,,,,,,0.03,,,,,,,,,,,
2019-02-01,Peru,9.22,87.4,0.16,0.58,2.46,0.03,0.02,0.02,0.02,0.04,,,0.03,,,,,,,,,0.03,,,,,,,,,,,
2019-03-01,Peru,8.66,89.09,0.15,0.55,1.36,0.03,0.02,0.03,0.03,0.04,,,0.02,,,,,,,,,0.02,,,,,,,,,,,
2019-04-01,Peru,8.81,89.36,0.13,0.52,1.02,0.03,0.02,0.02,0.02,0.04,,,0.02,,,,,,,,,0.01,,,,,,,,,,,
2019-05-01,Peru,8.36,90.25,0.13,0.46,0.66,0.02,0.02,0.02,0.02,0.04,,,0.01,,,,,,,,,0.01,,,,,,,,,,,
2019-06-01,Peru,8.62,90.11,0.14,0.42,0.56,0.02,0.03,0.01,0.03,0.03,,,0.02,,,,,,,,,0.01,,,,,,,,,,,
2019-07-01,Peru,8.18,90.54,0.14,0.42,0.56,0.06,0.02,0.01,0.02,0.03,,,0.01,,,,,,,,,0.01,,,,,,,,,,,
2019-08-01,Peru,9.18,89.5,0.14,0.42,0.6,0.02,0.04,0.02,0.02,0.02,,,0.02,,,,,,,,,0.02,,,,,,,,,,,
2019-09-01,Peru,8.48,90.51,0.13,0.31,0.48,0.02,0.02,0.01,0.01,0.02,,,0.01,,,,,,,,,0.01,,,,,,,,,,,
2019-10-01,Peru,7.57,91.4,0.09,0.27,0.59,0.01,0.01,0.01,0.01,0.02,,,0.01,,,,,,,,,0.01,,,,,,,,,,,
2019-11-01,Peru,8.02,90.87,0.11,0.27,0.64,0.01,0.01,0.01,0.01,0.02,,,0.01,,,,,,,,,0.01,,,,,,,,,,,
2019-12-01,Peru,8.15,90.73,0.08,0.24,0.69,0.03,0.02,0.01,0.01,0.02,,,0.01,,,,,,,,,0.0,,,,,,,,,,,
2010-01-01,South Africa,2.7,0.31,18.39,2.03,11.54,,1.16,,0.0,,52.65,10.72,0.08,0.37,,0.0,,,,,0.05,,,,,,,,,,,,
2010-02-01,South Africa,3.02,0.38,17.08,1.81,11.23,,1.27,,0.0,,54.56,10.09,0.07,0.45,,0.0,,,,,0.04,,,,,,,,,,,,
2010-03-01,South Africa,3.14,0.4,16.13,1.72,10.29,,1.55,,0.0,,54.54,11.75,0.1,0.33,,0.0,,,,,0.04,,,,,,,,,,,,
2010-04-01,South Africa,3.43,0.34,15.29,1.2,10.81,,1.76,,0.0,,55.57,11.17,0.13,0.28,,0.0,,,,,0.03,,,,,,,,,,,,
2010-05-01,South Africa,3.93,0.26,14.46,0.41,12.43,,1.74,,0.0,,55.92,10.47,0.14,0.22,,0.0,,,,,0.02,,,,,,,,,,,,
2010-06-01,South Africa,3.98,0.37,13.99,0.44,13.96,,1.85,,0.01,,55.36,9.66,0.16,0.21,,0.0,,,,,0.02,,,,,,,,,,,,
2010-07-01,South Africa,3.83,1.07,12.46,1.16,13.03,,1.92,,0.0,,57.01,9.06,0.13,0.29,,0.0,,,,,0.02,,,,,,,,,,,,
2010-08-01,South Africa,3.68,1.52,12.57,1.22,12.62,,2.27,,0.0,,57.24,8.41,0.11,0.33,,0.0,,,,,0.02,,,,,,,,,,,,
2010-09-01,South Africa,3.71,1.99,12.44,1.25,12.14,,2.38,,0.01,,57.36,8.27,0.08,0.35,,0.0,,,,,0.02,,,,,,,,,,,,
2010-10-01,South Africa,4.27,2.36,10.73,1.42,11.34,,2.59,,0.01,,59.2,7.62,0.08,0.37,,0.0,,,,,0.02,,,,,,,,,,,,
2010-11-01,South Africa,4.88,2.61,10.51,1.31,11.49,,3.0,,0.01,,57.88,7.71,0.08,0.42,,0.07,,,,,0.02,,,,,,,,,,,,
2010-12-01,South Africa,4.7,2.83,10.67,1.22,12.01,,3.52,,0.01,,57.69,6.69,0.09,0.48,,0.09,,,,,0.02,,,,,,,,,,,,
2010-01-01,Brunei Darussalam,2.66,0.07,8.55,0.53,0.22,,0.13,,0.0,,80.79,6.72,0.08,0.22,,0.0,,,,,0.03,,,,,,,,,,,,
2010-02-01,Brunei Darussalam,2.81,0.14,8.05,0.61,0.23,,0.24,,0.0,,80.7,6.94,0.06,0.22,,0.0,,,,,0.01,,,,,,,,,,,,
2010-03-01,Brunei Darussalam,2.7,0.14,6.6,0.61,0.37,,0.21,,0.0,,82.65,6.45,0.09,0.16,,0.0,,,,,0.01,,,,,,,,,,,,
2010-04-01,Brunei Darussalam,3.6,0.16,6.92,0.38,0.4,,0.16,,0.0,,81.24,6.81,0.15,0.16,,0.0,,,,,0.02,,,,,,,,,,,,
2010-05-01,Brunei Darussalam,4.05,0.15,8.94,0.16,0.65,,0.18,,0.0,,77.6,7.97,0.13,0.16,,0.0,,,,,0.02,,,,,,,,,,,,
2010-06-01,Brunei Darussalam,3.87,0.17,8.26,0.15,0.53,,0.42,,0.0,,78.53,7.73,0.14,0.17,,0.0,,,,,0.03,,,,,,,,,,,,
2010-07-01,Brunei Darussalam,3.59,0.6,6.58,0.34,0.66,,0.24,,0.0,,81.0,6.69,0.1,0.19,,0.0,,,,,0.01,,,,,,,,,,,,
2010-08-01,Brunei Darussalam,3.62,0.9,6.54,0.44,0.6,,0.2,,0.0,,81.23,6.1,0.06,0.26,,0.0,,,,,0.04,,,,,,,,,,,,
2010-09-01,Brunei Darussalam,3.38,1.14,6.89,0.36,0.53,,0.19,,0.0,,81.05,6.07,0.1,0.21,,0.0,,,,,0.08,,,,,,,,,,,,
2010-10-01,Brunei Darussalam,3.55,1.46,5.44,0.48,0.55,,0.19,,0.0,,81.99,6.04,0.07,0.21,,0.0,,,,,0.03,,,,,,,,,,,,
2010-11-01,Brunei Darussalam,3.73,1.92,4.23,0.46,0.63,,0.24,,0.01,,82.19,6.03,0.09,0.26,,0.2,,,,,0.02,,,,,,,,,,,,
2010-12-01,Brunei Darussalam,4.88,2.4,3.63,0.45,0.72,,0.3,,0.0,,80.88,5.92,0.13,0.27,,0.38,,,,,0.03,,,,,,,,,,,,
2012-01-01,Belgium,54.77,28.07,0.32,0.81,1.46,,1.87,0.17,0.03,0.0,8.98,0.44,1.36,,0.0,0.09,0.72,0.42,0.45,0.04,,,,,,,,,,,,,
2012-02-01,Belgium,56.07,28.83,0.29,0.86,1.16,,1.69,0.16,0.01,0.0,8.19,0.35,1.01,,0.0,0.08,0.59,0.34,0.3,0.07,,,,,,,,,,,,,
2012-03-01,Belgium,54.73,28.39,0.3,1.17,1.31,,1.79,0.26,0.02,0.0,8.79,0.46,1.19,,0.0,0.09,0.58,0.38,0.48,0.07,,,,,,,,,,,,,
2012-04-01,Belgium,53.46,30.37,0.31,1.41,1.34,,2.14,0.18,0.01,0.92,6.93,0.25,0.98,,0.01,0.07,0.64,0.44,0.51,0.06,,,,,,,,,,,,,
2012-05-01,Belgium,53.62,30.67,0.29,1.5,1.33,,2.14,0.18,0.02,3.47,4.01,0.37,0.84,,0.0,0.09,0.56,0.33,0.53,0.06,,,,,,,,,,,,,
2012-06-01,Belgium,53.36,31.2,0.23,1.82,1.23,,2.33,0.17,0.01,3.55,3.38,0.39,0.91,,0.0,0.08,0.51,0.36,0.4,0.05,,,,,,,,,,,,,
2012-07-01,Belgium,51.07,33.21,0.26,2.09,1.02,,2.22,0.15,0.01,3.88,3.01,0.24,1.33,,0.03,0.08,0.48,0.41,0.47,0.05,,,,,,,,,,,,,
2012-08-01,Belgium,50.96,34.63,0.28,2.08,0.78,,2.0,0.12,0.01,3.77,2.64,0.13,1.09,,0.04,0.04,0.48,0.26,0.63,0.05,,,,,,,,,,,,,
2012-09-01,Belgium,50.46,36.19,0.28,2.19,0.73,,1.86,0.14,0.0,3.24,2.41,0.14,0.84,,0.04,0.03,0.6,0.25,0.55,0.04,,,,,,,,,,,,,
2012-10-01,Belgium,51.37,36.09,0.27,2.38,0.88,,1.43,0.09,0.0,2.91,2.26,0.12,0.9,,0.02,0.02,0.54,0.22,0.45,0.05,,,,,,,,,,,,,
2012-11-01,Belgium,51.95,36.12,0.27,2.5,0.81,,1.27,0.09,0.01,2.89,2.16,0.11,0.71,,0.01,0.02,0.42,0.19,0.41,0.05,,,,,,,,,,,,,
2012-12-01,Belgium,50.8,36.94,0.28,2.77,1.09,,1.21,0.11,0.0,2.74,1.95,0.09,0.79,,0.0,0.02,0.4,0.24,0.51,0.05,,,,,,,,,,,,,
2017-01-01,Cyprus,21.5,76.11,0.83,0.82,0.17,0.16,0.15,0.15,0.0,0.04,0.01,,0.01,0.02,,,,,,,,,0.03,,,,,,,,,,
2017-02-01,Cyprus,21.66,76.23,0.77,0.77,0.2,0.12,0.09,0.02,0.0,0.06,0.01,,0.0,0.03,,,,,,,,,0.03,,,,,,,,,,
2017-03-01,Cyprus,22.59,74.96,1.15,0.79,0.19,0.12,0.07,0.01,0.0,0.03,0.01,,0.01,0.02,,,,,,,,,0.03,,,,,,,,,,
2017-04-01,Cyprus,23.06,74.59,1.13,0.7,0.2,0.14,0.09,0.01,0.0,0.03,0.01,,0.0,0.02,,,,,,,,,0.01,,,,,,,,,,
2017-05-01,Cyprus,23.41,73.54,1.81,0.68,0.19,0.17,0.11,0.01,0.0,0.05,0.0,,0.0,0.02,,,,,,,,,0.02,,,,,,,,,,
2017-06-01,Cyprus,22.67,73.81,1.88,0.99,0.17,0.16,0.12,0.01,0.0,0.07,0.02,,0.02,0.06,,,,,,,,,0.0,,,,,,,,,,
2017-07-01,Cyprus,22.78,73.76,2.08,0.8,0.24,0.13,0.07,0.02,0.0,0.01,0.02,,0.02,0.04,,,,,,,,,0.01,,,,,,,,,,
2017-08-01,Cyprus,23.05,74.24,1.15,0.79,0.27,0.15,0.07,0.01,0.0,0.01,0.02,,0.19,0.04,,,,,,,,,0.01,,,,,,,,,,
2017-09-01,Cyprus,21.69,75.18,1.48,0.87,0.37,0.15,0.11,0.01,0.0,0.01,0.01,,0.09,0.02,,,,,,,,,0.01,,,,,,,,,,
2017-10-01,Cyprus,22.43,75.46,0.67,0.75,0.41,0.14,0.05,0.0,0.0,0.01,0.0,,0.05,0.01,,,,,,,,,0.01,,,,,,,,,,
2017-11-01,Cyprus,21.47,76.11,0.97,0.66,0.6,0.05,0.04,0.0,0.0,0.02,0.01,,0.03,0.02,,,,,,,,,0.01,,,,,,,,,,
2017-12-01,Cyprus,21.18,77.08,0.76,0.69,0.18,0.01,0.03,0.0,0.0,0.03,0.01,,0.01,0.01,,,,,,,,,0.01,,,,,,,,,,
2012-01-01,New Zealand,61.73,28.2,1.66,0.52,0.63,,0.36,0.17,0.01,0.0,5.0,0.61,0.68,,0.0,0.06,0.09,0.1,0.13,0.06,,,,,,,,,,,,,
2012-02-01,New Zealand,63.85,27.13,1.54,0.51,0.44,,0.51,0.11,0.02,0.0,4.28,0.58,0.59,,0.0,0.05,0.08,0.06,0.17,0.06,,,,,,,,,,,,,
2012-03-01,New Zealand,62.71,27.57,1.68,0.69,0.45,,0.33,0.16,0.02,0.0,4.76,0.61,0.5,,0.0,0.04,0.19,0.06,0.15,0.09,,,,,,,,,,,,,
2012-04-01,New Zealand,62.49,28.3,1.48,0.87,0.43,,0.32,0.17,0.01,0.18,4.05,0.45,0.6,,0.0,0.04,0.33,0.05,0.12,0.1,,,,,,,,,,,,,
2012-05-01,New Zealand,62.05,29.07,1.23,1.05,0.37,,0.36,0.22,0.01,0.84,3.41,0.46,0.45,,0.0,0.02,0.21,0.06,0.11,0.07,,,,,,,,,,,,,
2012-06-01,New Zealand,61.42,30.77,1.08,0.94,0.34,,0.33,0.2,0.0,0.86,2.55,0.46,0.5,,0.0,0.01,0.25,0.05,0.15,0.07,,,,,,,,,,,,,
2012-07-01,New Zealand,58.8,33.7,1.13,1.15,0.32,,0.24,0.17,0.0,1.18,1.9,0.28,0.48,,0.08,0.01,0.1,0.07,0.28,0.11,,,,,,,,,,,,,
2012-08-01,New Zealand,56.91,35.52,1.46,1.44,0.37,,0.28,0.13,0.0,1.05,1.67,0.23,0.43,,0.09,0.02,0.09,0.07,0.16,0.09,,,,,,,,,,,,,
2012-09-01,New Zealand,56.45,36.18,1.43,1.44,0.48,,0.23,0.3,0.0,0.87,1.54,0.24,0.46,,0.02,0.01,0.08,0.06,0.08,0.12,,,,,,,,,,,,,
2012-10-01,New Zealand,56.4,36.56,1.66,1.38,0.34,,0.23,0.21,0.0,0.77,1.4,0.21,0.5,,0.02,0.01,0.05,0.04,0.13,0.09,,,,,,,,,,,,,
2012-11-01,New Zealand,56.79,36.94,1.18,1.44,0.34,,0.18,0.08,0.0,0.75,1.22,0.17,0.5,,0.02,0.01,0.06,0.03,0.19,0.09,,,,,,,,,,,,,
2012-12-01,New Zealand,55.14,38.28,1.24,1.74,0.34,,0.2,0.1,0.0,0.89,1.1,0.17,0.44,,0.0,0.0,0.05,0.03,0.19,0.08,,,,,,,,,,,,,
2010-01-01,Chile,45.48,0.56,3.92,2.17,1.97,,3.55,,0.04,,33.33,7.78,0.85,0.0,,0.0,,0.34,,,,,,,,,,,,,,,
2010-02-01,Chile,40.74,0.5,4.89,2.16,2.37,,3.37,,0.02,,33.97,10.6,1.11,0.01,,0.0,,0.24,,,,,,,,,,,,,,,
2010-03-01,Chile,38.78,0.64,5.14,1.7,2.26,,3.38,,0.03,,35.94,10.72,1.11,0.01,,0.0,,0.29,,,,,,,,,,,,,,,
